Country_Name,Country_Code,Indicator_Name,Indicator_Code,Year,Population
Austria,AUT,"Population, total",SP.POP.TOTL,1990,7677850.0
Austria,AUT,"Population, total",SP.POP.TOTL,1991,7754891.0
Austria,AUT,"Population, total",SP.POP.TOTL,1992,7840709.0
Austria,AUT,"Population, total",SP.POP.TOTL,1993,7905633.0
Austria,AUT,"Population, total",SP.POP.TOTL,1994,7936118.0
Austria,AUT,"Population, total",SP.POP.TOTL,1995,7948278.0
Austria,AUT,"Population, total",SP.POP.TOTL,1996,7959017.0
Austria,AUT,"Population, total",SP.POP.TOTL,1997,7968041.0
Austria,AUT,"Population, total",SP.POP.TOTL,1998,7976789.0
Austria,AUT,"Population, total",SP.POP.TOTL,1999,7992324.0
Austria,AUT,"Population, total",SP.POP.TOTL,2000,8011566.0
Austria,AUT,"Population, total",SP.POP.TOTL,2001,8042293.0
Austria,AUT,"Population, total",SP.POP.TOTL,2002,8081957.0
Austria,AUT,"Population, total",SP.POP.TOTL,2003,8121423.0
Austria,AUT,"Population, total",SP.POP.TOTL,2004,8171966.0
Austria,AUT,"Population, total",SP.POP.TOTL,2005,8227829.0
Austria,AUT,"Population, total",SP.POP.TOTL,2006,8268641.0
Austria,AUT,"Population, total",SP.POP.TOTL,2007,8295487.0
Austria,AUT,"Population, total",SP.POP.TOTL,2008,8321496.0
Austria,AUT,"Population, total",SP.POP.TOTL,2009,8343323.0
Austria,AUT,"Population, total",SP.POP.TOTL,2010,8363404.0
Austria,AUT,"Population, total",SP.POP.TOTL,2011,8391643.0
Austria,AUT,"Population, total",SP.POP.TOTL,2012,8429991.0
Austria,AUT,"Population, total",SP.POP.TOTL,2013,8479823.0
Austria,AUT,"Population, total",SP.POP.TOTL,2014,8546356.0
Austria,AUT,"Population, total",SP.POP.TOTL,2015,8642699.0
Austria,AUT,"Population, total",SP.POP.TOTL,2016,8736668.0
Austria,AUT,"Population, total",SP.POP.TOTL,2017,8797566.0
Austria,AUT,"Population, total",SP.POP.TOTL,2018,8840521.0
Austria,AUT,"Population, total",SP.POP.TOTL,2019,8879920.0
Austria,AUT,"Population, total",SP.POP.TOTL,2020,8916864.0
Austria,AUT,"Population, total",SP.POP.TOTL,2021,8955797.0
Austria,AUT,"Population, total",SP.POP.TOTL,2022,9041851.0
Czechia,CZE,"Population, total",SP.POP.TOTL,1990,10333355.0
Czechia,CZE,"Population, total",SP.POP.TOTL,1991,10308578.0
Czechia,CZE,"Population, total",SP.POP.TOTL,1992,10319123.0
Czechia,CZE,"Population, total",SP.POP.TOTL,1993,10329855.0
Czechia,CZE,"Population, total",SP.POP.TOTL,1994,10333587.0
Czechia,CZE,"Population, total",SP.POP.TOTL,1995,10327253.0
Czechia,CZE,"Population, total",SP.POP.TOTL,1996,10315241.0
Czechia,CZE,"Population, total",SP.POP.TOTL,1997,10304131.0
Czechia,CZE,"Population, total",SP.POP.TOTL,1998,10294373.0
Czechia,CZE,"Population, total",SP.POP.TOTL,1999,10283860.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2000,10255063.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2001,10216605.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2002,10196916.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2003,10193998.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2004,10197101.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2005,10211216.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2006,10238905.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2007,10298828.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2008,10384603.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2009,10443936.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2010,10474410.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2011,10496088.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2012,10510785.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2013,10514272.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2014,10525347.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2015,10546059.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2016,10566332.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2017,10594438.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2018,10629928.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2019,10671870.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2020,10697858.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2021,10505772.0
Czechia,CZE,"Population, total",SP.POP.TOTL,2022,10672118.0
Germany,DEU,"Population, total",SP.POP.TOTL,1990,79433029.0
Germany,DEU,"Population, total",SP.POP.TOTL,1991,80013896.0
Germany,DEU,"Population, total",SP.POP.TOTL,1992,80624598.0
Germany,DEU,"Population, total",SP.POP.TOTL,1993,81156363.0
Germany,DEU,"Population, total",SP.POP.TOTL,1994,81438348.0
Germany,DEU,"Population, total",SP.POP.TOTL,1995,81678051.0
Germany,DEU,"Population, total",SP.POP.TOTL,1996,81914831.0
Germany,DEU,"Population, total",SP.POP.TOTL,1997,82034771.0
Germany,DEU,"Population, total",SP.POP.TOTL,1998,82047195.0
Germany,DEU,"Population, total",SP.POP.TOTL,1999,82100243.0
Germany,DEU,"Population, total",SP.POP.TOTL,2000,82211508.0
Germany,DEU,"Population, total",SP.POP.TOTL,2001,82349925.0
Germany,DEU,"Population, total",SP.POP.TOTL,2002,82488495.0
Germany,DEU,"Population, total",SP.POP.TOTL,2003,82534176.0
Germany,DEU,"Population, total",SP.POP.TOTL,2004,82516260.0
Germany,DEU,"Population, total",SP.POP.TOTL,2005,82469422.0
Germany,DEU,"Population, total",SP.POP.TOTL,2006,82376451.0
Germany,DEU,"Population, total",SP.POP.TOTL,2007,82266372.0
Germany,DEU,"Population, total",SP.POP.TOTL,2008,82110097.0
Germany,DEU,"Population, total",SP.POP.TOTL,2009,81902307.0
Germany,DEU,"Population, total",SP.POP.TOTL,2010,81776930.0
Germany,DEU,"Population, total",SP.POP.TOTL,2011,80274983.0
Germany,DEU,"Population, total",SP.POP.TOTL,2012,80425823.0
Germany,DEU,"Population, total",SP.POP.TOTL,2013,80645605.0
Germany,DEU,"Population, total",SP.POP.TOTL,2014,80982500.0
Germany,DEU,"Population, total",SP.POP.TOTL,2015,81686611.0
Germany,DEU,"Population, total",SP.POP.TOTL,2016,82348669.0
Germany,DEU,"Population, total",SP.POP.TOTL,2017,82657002.0
Germany,DEU,"Population, total",SP.POP.TOTL,2018,82905782.0
Germany,DEU,"Population, total",SP.POP.TOTL,2019,83092962.0
Germany,DEU,"Population, total",SP.POP.TOTL,2020,83160871.0
Germany,DEU,"Population, total",SP.POP.TOTL,2021,83196078.0
Germany,DEU,"Population, total",SP.POP.TOTL,2022,83797985.0
Poland,POL,"Population, total",SP.POP.TOTL,1990,38110782.0
Poland,POL,"Population, total",SP.POP.TOTL,1991,38246193.0
Poland,POL,"Population, total",SP.POP.TOTL,1992,38363667.0
Poland,POL,"Population, total",SP.POP.TOTL,1993,38461408.0
Poland,POL,"Population, total",SP.POP.TOTL,1994,38542652.0
Poland,POL,"Population, total",SP.POP.TOTL,1995,38594998.0
Poland,POL,"Population, total",SP.POP.TOTL,1996,38624370.0
Poland,POL,"Population, total",SP.POP.TOTL,1997,38649660.0
